acc,RMSE,f1_macro,f1_micro
0.7198144116806298,1.1311224326521516,0.42544479123817897,0.7198144116806298
0.7179673241418739,1.1287287671787454,0.42327688100539973,0.7179673241418739
0.7197044659937991,1.117067396021286,0.42484811180172494,0.7197044659937991
0.7210836485178995,1.1218235127091023,0.42797795862210763,0.7210836485178995
0.7182909666637347,1.1233709778025338,0.42370288215404583,0.7182909666637347
0.7188187175653091,1.128672989805791,0.4229308712882047,0.7188187175653091
0.7192585099832879,1.1300846043316795,0.4267704776154013,0.7192585099832879
0.7176972468994635,1.1259030444855567,0.4226594017730484,0.7176972468994635
0.71818101855924,1.127035253044962,0.4207512079016896,0.71818101855924
0.7196103439176709,1.1273376334772067,0.4253995885253527,0.7196103439176709
