acc,RMSE,f1_macro,f1_micro
0.7102711260637246,0.856518295161619,0.5955099484504176,0.7102711260637246
0.7178134001803109,0.8430888834283796,0.6044422492673205,0.7178134001803109
0.7132176704707874,0.8530841050387744,0.5966879057346267,0.7132176704707874
0.7126396340927083,0.8472739603378915,0.5961282330171999,0.7126396340927083
0.7150365027706922,0.8489204001087616,0.6002373309856663,0.7150365027706922
0.71136423608057,0.8502404289684837,0.5973907632385034,0.71136423608057
0.7141789075556337,0.8426154992550493,0.6002421001128615,0.7141789075556337
0.7108584747998945,0.8540595499370031,0.5983626936116782,0.7108584747998945
0.7182030081801389,0.8472090744097116,0.6049356729511624,0.7182030081801389
0.7172794441023836,0.84523416482388,0.6005749691274004,0.7172794441023836
